País,ISO,Región,Entrada_2000,Salida_2000,Entrada_2001,Salida_2001,Entrada_2002,Salida_2002,Entrada_2003,Salida_2003,Entrada_2004,Salida_2004,Entrada_2005,Salida_2005,Entrada_2006,Salida_2006,Entrada_2007,Salida_2007,Entrada_2008,Salida_2008,Entrada_2009,Salida_2009,Entrada_2010,Salida_2010,Entrada_2011,Salida_2011,Entrada_2012,Salida_2012,Entrada_2013,Salida_2013,Entrada_2014,Salida_2014,Entrada_2015,Salida_2015,Entrada_2016,Salida_2016,Entrada_2017,Salida_2017,Entrada_2018,Salida_2018,Entrada_2019,Salida_2019,Entrada_2020,Salida_2020,Entrada_2021,Salida_2021,Entrada_2022,Salida_2022,Prom_Entrada_2000_2022,Prom_Salida_2000_2022,Clasificación
Albania,ALB,Europa Occidental,143.0,,207.3,,135.0,,178.04,,341.29,13.6,262.48,4.06,325.14,10.5,652.28,4.91,1247.18,365.94,1345.42,394.65,1089.9,46.39,1048.71,202.09,917.99,83.18,1254.15,28.45,1149.93,75.65,989.58,79.31,1044.39,7.04,1022.76,-106.18,1204.38,-4.51,1201.02,39.98,1069.74,50.1,1218.59,49.94,1441.38,191.51,847.38,80.87,Importador neto
Algeria,DZA,Medio Oriente/Norte África,280.1,13.7,1113.11,9.3,1064.96,98.57,637.85,28.32,884.75,245.45,1156.0,55.0,1841.0,79.0,1686.74,146.99,2638.61,317.85,2746.93,214.42,2300.37,219.23,2571.24,533.92,1500.4,-41.44,1691.89,-271.75,1502.21,-18.57,-537.79,101.12,1638.26,46.54,1230.24,-8.57,1466.12,846.21,1381.2,31.15,1143.92,14.61,869.19,-50.56,241.8,84.59,1349.96,117.18,Importador neto
Argentina,ARG,América del Sur,10418.31,901.03,2166.14,160.88,2148.91,-627.14,1652.01,773.78,4124.71,675.99,5265.25,1311.06,5537.35,2438.72,6473.16,1504.23,9725.55,1390.93,4017.16,711.55,11332.72,964.76,10839.93,1488.0,15323.93,1054.85,9821.66,889.97,5065.34,1920.54,11758.99,875.23,3260.16,1786.53,11516.86,1155.63,11716.77,1725.98,6649.19,1522.73,4884.13,1177.18,6658.05,1543.86,15206.09,2089.84,7633.15,1192.88,Importador neto
Armenia,ARM,Este Europa/Asia Central,104.19,,69.87,,110.73,0.0,122.85,0.61,247.14,-0.12,292.07,5.39,466.53,22.63,667.67,8.89,943.73,30.51,760.04,52.24,529.32,27.46,653.22,219.08,496.64,23.43,346.09,30.26,406.58,28.8,184.13,28.75,333.82,70.52,252.75,29.06,266.86,7.01,100.29,-133.0,58.58,-27.28,366.42,24.59,975.66,49.74,380.66,23.74,Importador neto
Austria,AUT,Europa Occidental,8501.01,5509.49,5689.43,3021.9,138.35,5780.43,6195.02,6859.78,3183.65,8029.9,81096.09,81289.43,10500.46,16087.85,68865.79,79039.91,6301.14,27903.02,14300.06,15558.17,-22007.33,-14327.62,22983.94,38145.28,5218.62,18444.3,-1290.98,11031.0,1708.43,-875.37,-6847.37,-675.73,-28502.57,-27725.54,14031.98,8012.17,-27839.21,-27564.07,-12636.36,-8291.47,-12003.8,2114.33,18998.11,29090.36,14301.5,14413.87,7429.82,12646.58,Exportador neto
Azerbaijan,AZE,Este Europa/Asia Central,129.94,0.76,819.58,593.07,2024.58,957.76,4007.33,1655.58,4719.11,2367.82,4476.4,4017.24,4485.97,5775.44,4594.23,9628.75,3986.81,4527.63,2900.03,2752.85,3353.0,3021.84,4485.12,3552.54,5293.25,4480.84,2619.44,1477.89,4430.47,1987.07,4047.63,3209.38,4499.67,2573.6,2867.49,2564.38,1403.0,1760.88,1503.92,2431.72,507.15,825.28,-1707.67,76.99,-4474.48,172.21,2650.96,2626.59,Importador neto
Bahrain,BHR,Medio Oriente/Norte África,363.56,9.55,80.36,215.96,216.99,190.03,516.7,741.35,865.31,1035.64,1048.6,1135.37,2914.66,980.05,1756.31,1669.15,1794.0,1620.48,257.15,-1791.49,155.77,334.04,780.85,893.62,1544.68,515.96,3727.71,531.65,1518.62,-394.41,64.89,3190.96,243.35,-880.05,1426.06,228.99,1654.26,111.17,941.76,-197.07,1021.28,-205.05,1779.26,64.36,1951.33,1947.87,1157.54,519.48,Importador neto
Bangladesh,BGD,Asia Sur-Este/Pacífico,280.38,2.0,78.53,20.6,52.3,2.64,268.29,2.78,448.91,4.07,813.32,1.94,456.52,3.59,651.03,134.26,1328.42,190.66,901.29,180.83,1232.26,66.44,1264.73,297.43,1584.4,289.06,2602.96,546.88,2539.19,41.77,2831.15,59.9,2332.72,40.52,1810.4,126.74,2421.63,19.21,1908.05,23.06,1525.31,4.81,1723.86,83.18,1601.07,31.6,1332.9,94.52,Importador neto
Belarus,BLR,Este Europa/Asia Central,118.8,0.2,95.8,0.3,247.1,-206.2,171.8,1.5,163.8,1.3,306.6,2.5,357.1,3.0,1807.3,15.2,2187.9,30.6,1876.5,102.3,1393.4,50.6,4002.4,125.5,1463.6,155.5,2246.1,262.2,1862.0,73.4,1652.3,106.6,1246.9,122.9,1276.3,67.8,1426.5,55.2,1273.3,-3.8,1393.2,82.7,1230.72,-79.18,1606.42,180.2,1278.51,50.01,Importador neto
Belgium,BEL,Europa Occidental,88738.71,86361.71,88203.25,100646.09,18118.95,8919.91,34559.27,39066.05,44498.17,34747.35,33662.01,32538.36,58821.55,50131.04,96551.63,83458.03,190391.84,223255.89,77354.51,33339.46,125491.89,66826.89,163624.38,129105.96,11810.27,41494.61,-29640.92,-12369.15,-15205.87,-418.23,-19514.25,7330.13,57538.35,34555.15,-37288.84,-5300.15,-41601.39,-36001.47,-10587.09,-18011.2,-30140.7,-20336.59,33980.66,62417.84,13136.47,34254.79,41413.17,42435.32,Exportador neto
