N° Caso CIADI,Nombre del Caso,Estado Demandado,Clasificación Capital,Región CIADI,País Inversor,Clasif. Inversor,Año Inicio,Resultado,Monto Reclamado (USD mill.),Monto Otorgado (USD mill.),% Otorgado/Reclamado,Tipo de Condena,Sector Económico,Decisiones Estatales Impugnadas,Tratado Invocado,Nacionalidad del Inversor,Composición Accionaria,Árbitros,¿Anulación?,Resultado Anulación,Idioma del Laudo,Variables extraídas auto,Link Italaw
ICSID Case No. ARB/21/2,Pavilniu and Modus v. Belarus,Belarus,Importador neto,Este Europa/Asia Central,Lithuania,Importador neto,2021,No - ganó el Estado,9.00 USD,Data not available,,,"Tertiary - F - Construction;
Tertiary - I - Accommodation and food service activities",,Belarus - Lithuania BIT (1999),Lithuania,,"Bull, C. - President; Tonova, S. - Claimant; Malintoppi, L. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/20/16,AFC v. Colombia,Colombia,Importador neto,América del Sur,Spain,Exportador neto,2020,No - ganó el Estado,Data not available,Data not available,,,Tertiary - K - Financial and insurance activities,,Colombia - Spain BIT (2005),Spain,,"Sepúlveda Amor, B. - President; Sacco, S. - Claimant; Jiménez Figueres, D. - Respondent",,,Español,Sí,https://www.italaw.com/cases/9135
ICSID Case No. ARB/20/21,AHG v. Iraq,Iraq,Exportador neto,Medio Oriente/Norte África,Germany,Exportador neto,2020,No - ganó el Estado,1000.00 USD,Data not available,,TJE - Trato Justo y Equitativo,Secondary - C - Manufacturing,,EU - Iraq Cooperation Agreement (2012),Germany,,"Banifatemi, Y. - President; Reed, L. - Claimant; Al-Khasawneh, A. S. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/9929
ICSID Case No. ARB/20/12,BRIF v. Serbia,Serbia,Exportador neto,Europa Occidental,Luxembourg,Exportador neto,2020,No - ganó el Estado,143.60 EUR (156.50 USD),Data not available,,Expropiación | Cláusula Paraguas,Tertiary - F - Construction,,BLEU (Belgium-Luxembourg Economic Union) - Serbia BIT (2004),Luxembourg,,"Derains, Y. - President; Haridi, S. A. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/10454
ICSID Case No. ARB/20/2,Hope Services v. Cameroon,Cameroon,Importador neto,África Subsahariana,United States of America,Exportador neto,2020,No - ganó el Estado,1000.00 USD,Data not available,,,Tertiary - K - Financial and insurance activities,,Cameroon - United States of America BIT (1986),United States of America,,"Scherer, M. - President; Ziadé, N. - Claimant; Mayer, P. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/8431
ICSID Case No. ARB/20/38,Nachingwea and others v. Tanzania,"Tanzania, United Republic of",Importador neto,Sin clasificar,United Kingdom,Importador neto,2020,Sí con daños,76.70 USD,76.70 USD,,Expropiación,Primary - B - Mining and quarrying,,United Republic of Tanzania - United Kingdom BIT (1994),United Kingdom,,"Bull, C. - President; Bishop, D. - Claimant; Monageng, S. M. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/8457
ICSID Case No. ARB/20/11,Pildegovics and North Star v. Norway,Norway,Exportador neto,Europa Occidental,Latvia,Importador neto,2020,No - ganó el Estado,448.70 EUR (533.90 USD),Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,"Primary - A - Agriculture, forestry and fishing",,Latvia - Norway BIT (1992),Latvia,,"Greenwood, C. - President; Fortier, L. Y. - Claimant; McRae, D. M. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/8023
ICSID Case No. ARB/20/1,United Agencies v. Algeria (I),Algeria,Importador neto,Medio Oriente/Norte África,Switzerland,Exportador neto,2020,Sí con daños,Data not available,36.00 USD,,,Tertiary - K - Financial and insurance activities,,Algeria - Switzerland BIT (2004),Switzerland,,"Hanotiau, B. - President; Patocchi, P. M. - Claimant; Bencheneb, A. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/19/15,Axiata and Ncell v. Nepal,Nepal,Importador neto,Asia Sur-Este/Pacífico,United Kingdom,Importador neto,2019,No - ganó el Estado,348.00 USD,Data not available,,,Tertiary - J - Information and communication,,Nepal - United Kingdom BIT (1993),United Kingdom,,"Kim, J. - President; van den Berg, A. J. - Claimant; Friedland, P. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/19/13,Díaz Gaspar v. Costa Rica,Costa Rica,Importador neto,América Central/Caribe,Spain,Exportador neto,2019,Sí sin daños,101.00 USD,Data not available,,TJE - Trato Justo y Equitativo,Secondary - C - Manufacturing,Cambio regulatorio,Costa Rica - Spain BIT (1997),Spain,,"Mourre, A. - President; Jiménez, A. E. - Claimant; González García, L. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/9474
